FeedbackID,CustomerID,BranchID,FeedbackType,Comments,DateSubmitted
1,395,6,Praise,"The queue was too long, need more staff at counters.",2023-11-21
2,347,9,Complaint,Need better online banking services.,2023-06-10
3,442,3,Suggestion,"Smooth account opening process, highly recommend this branch.",2024-04-19
4,446,2,Complaint,"Service was excellent, very polite staff.",2024-10-08
5,165,7,Complaint,"Smooth account opening process, highly recommend this branch.",2024-05-26
6,319,19,Praise,"ATM was out of order, had to visit another branch.",2024-12-22
7,248,12,Praise,Branch manager was very helpful in resolving my issue.,2023-07-11
8,97,20,Suggestion,"The queue was too long, need more staff at counters.",2024-04-23
9,200,17,Suggestion,"ATM was out of order, had to visit another branch.",2024-09-13
10,89,12,Suggestion,Need better online banking services.,2023-10-17
11,500,20,Praise,"Smooth account opening process, highly recommend this branch.",2024-04-02
12,47,11,Complaint,Branch manager was very helpful in resolving my issue.,2024-12-25
13,109,7,Complaint,Need better online banking services.,2023-12-20
14,33,14,Praise,Branch manager was very helpful in resolving my issue.,2024-10-15
15,40,2,Suggestion,"The queue was too long, need more staff at counters.",2024-11-21
16,466,20,Complaint,"ATM was out of order, had to visit another branch.",2023-07-02
17,124,20,Praise,"Quick loan processing, really happy with the support.",2024-07-18
18,27,16,Complaint,"ATM was out of order, had to visit another branch.",2024-11-25
19,124,19,Praise,"Service was excellent, very polite staff.",2024-03-04
20,181,3,Suggestion,"Quick loan processing, really happy with the support.",2024-07-28
21,117,10,Suggestion,Great experience with the customer service team.,2023-10-18
22,285,5,Suggestion,"The queue was too long, need more staff at counters.",2024-04-23
23,169,2,Suggestion,Staff should be more attentive to customers.,2024-04-01
24,462,15,Suggestion,"Service was excellent, very polite staff.",2023-11-11
25,131,15,Praise,"Quick loan processing, really happy with the support.",2023-06-04
26,333,16,Suggestion,"Quick loan processing, really happy with the support.",2023-04-21
27,56,3,Praise,"ATM was out of order, had to visit another branch.",2023-05-09
28,149,3,Suggestion,"Service was excellent, very polite staff.",2024-09-23
29,187,18,Suggestion,Would love to see extended working hours on weekends.,2024-11-21
30,377,2,Complaint,Would love to see extended working hours on weekends.,2024-03-08
31,102,20,Suggestion,Branch manager was very helpful in resolving my issue.,2024-09-11
32,123,15,Praise,Great experience with the customer service team.,2025-02-15
33,210,3,Complaint,"The queue was too long, need more staff at counters.",2023-05-10
34,59,12,Complaint,"Service was excellent, very polite staff.",2023-08-28
35,199,9,Complaint,Staff should be more attentive to customers.,2023-04-19
36,472,7,Complaint,"Service was excellent, very polite staff.",2023-04-29
37,114,19,Complaint,Great experience with the customer service team.,2023-10-15
38,132,11,Praise,Great experience with the customer service team.,2024-12-22
39,272,11,Praise,Great experience with the customer service team.,2023-09-18
40,70,4,Complaint,"Smooth account opening process, highly recommend this branch.",2023-09-06
41,69,18,Complaint,Great experience with the customer service team.,2024-08-07
42,200,15,Praise,Branch manager was very helpful in resolving my issue.,2024-05-31
43,91,9,Suggestion,Need better online banking services.,2023-04-07
44,488,18,Complaint,"The queue was too long, need more staff at counters.",2023-08-01
45,189,5,Complaint,Staff should be more attentive to customers.,2024-08-24
46,258,5,Praise,Branch manager was very helpful in resolving my issue.,2024-11-15
47,378,13,Complaint,Need better online banking services.,2024-09-06
48,420,11,Praise,Great experience with the customer service team.,2025-01-07
49,495,9,Complaint,Branch manager was very helpful in resolving my issue.,2023-08-11
50,104,12,Praise,"Service was excellent, very polite staff.",2024-11-11
51,478,18,Praise,Branch manager was very helpful in resolving my issue.,2024-09-20
52,358,4,Complaint,"ATM was out of order, had to visit another branch.",2025-01-31
53,326,1,Complaint,Branch manager was very helpful in resolving my issue.,2023-11-27
54,38,20,Praise,"Smooth account opening process, highly recommend this branch.",2024-02-03
55,315,4,Suggestion,Great experience with the customer service team.,2023-10-01
56,70,14,Complaint,"The queue was too long, need more staff at counters.",2025-01-02
57,10,1,Suggestion,"Quick loan processing, really happy with the support.",2024-01-26
58,269,20,Complaint,Branch manager was very helpful in resolving my issue.,2025-03-01
59,161,5,Suggestion,"Smooth account opening process, highly recommend this branch.",2024-05-23
60,221,14,Praise,Need better online banking services.,2025-02-20
61,359,19,Complaint,"ATM was out of order, had to visit another branch.",2024-01-27
62,156,18,Suggestion,Staff should be more attentive to customers.,2024-03-11
63,47,4,Complaint,"The queue was too long, need more staff at counters.",2023-05-01
64,271,3,Suggestion,Need better online banking services.,2024-09-07
65,124,14,Complaint,"Quick loan processing, really happy with the support.",2023-11-08
66,29,16,Praise,Branch manager was very helpful in resolving my issue.,2023-03-24
67,467,1,Suggestion,"The queue was too long, need more staff at counters.",2024-11-23
68,367,18,Complaint,"Service was excellent, very polite staff.",2024-10-03
69,68,7,Complaint,Would love to see extended working hours on weekends.,2024-08-15
70,11,17,Praise,"Quick loan processing, really happy with the support.",2024-06-23
71,97,2,Suggestion,Great experience with the customer service team.,2023-04-16
72,268,5,Complaint,Great experience with the customer service team.,2024-09-08
73,105,8,Complaint,Staff should be more attentive to customers.,2023-06-15
74,79,8,Suggestion,"ATM was out of order, had to visit another branch.",2024-09-29
75,108,13,Complaint,Would love to see extended working hours on weekends.,2024-04-28
76,395,18,Suggestion,"The queue was too long, need more staff at counters.",2024-01-14
77,286,4,Suggestion,"Service was excellent, very polite staff.",2025-01-18
78,446,9,Praise,"Service was excellent, very polite staff.",2024-06-11
79,175,17,Complaint,"Quick loan processing, really happy with the support.",2024-10-21
80,48,13,Praise,"Service was excellent, very polite staff.",2023-04-10
81,356,16,Praise,"Service was excellent, very polite staff.",2023-11-17
82,179,13,Praise,Staff should be more attentive to customers.,2023-11-18
83,29,15,Suggestion,"Quick loan processing, really happy with the support.",2023-05-12
84,152,20,Praise,"ATM was out of order, had to visit another branch.",2024-01-24
85,325,20,Suggestion,"ATM was out of order, had to visit another branch.",2023-04-26
86,223,11,Praise,"The queue was too long, need more staff at counters.",2023-10-09
87,101,15,Praise,"ATM was out of order, had to visit another branch.",2023-10-30
88,171,6,Praise,"Quick loan processing, really happy with the support.",2025-02-25
89,78,8,Complaint,"Service was excellent, very polite staff.",2024-12-22
90,455,17,Suggestion,Branch manager was very helpful in resolving my issue.,2024-07-25
91,105,9,Complaint,Would love to see extended working hours on weekends.,2024-04-18
92,178,7,Complaint,Would love to see extended working hours on weekends.,2023-09-26
93,285,6,Praise,Need better online banking services.,2024-01-12
94,86,14,Complaint,Would love to see extended working hours on weekends.,2024-03-22
95,2,10,Complaint,Would love to see extended working hours on weekends.,2023-04-04
96,271,11,Suggestion,Great experience with the customer service team.,2024-07-22
97,384,6,Suggestion,Need better online banking services.,2024-07-07
98,64,7,Complaint,"ATM was out of order, had to visit another branch.",2024-02-18
99,218,6,Suggestion,"The queue was too long, need more staff at counters.",2023-12-20
100,170,2,Suggestion,Great experience with the customer service team.,2024-07-07
101,290,13,Suggestion,Need better online banking services.,2023-12-28
102,179,20,Complaint,Need better online banking services.,2023-06-01
103,100,17,Suggestion,"Service was excellent, very polite staff.",2024-11-02
104,372,19,Praise,Staff should be more attentive to customers.,2024-06-04
105,292,8,Praise,"The queue was too long, need more staff at counters.",2024-03-14
106,277,1,Praise,Branch manager was very helpful in resolving my issue.,2025-02-18
107,98,20,Complaint,"Service was excellent, very polite staff.",2024-12-08
108,167,15,Suggestion,Staff should be more attentive to customers.,2023-04-23
109,304,12,Suggestion,Branch manager was very helpful in resolving my issue.,2023-12-07
110,335,15,Praise,"ATM was out of order, had to visit another branch.",2023-06-28
111,98,5,Suggestion,"ATM was out of order, had to visit another branch.",2025-03-06
112,317,19,Praise,Great experience with the customer service team.,2023-12-27
113,352,10,Praise,Need better online banking services.,2023-12-02
114,121,4,Praise,Staff should be more attentive to customers.,2023-07-15
115,48,5,Complaint,"Smooth account opening process, highly recommend this branch.",2024-08-24
116,102,18,Suggestion,Staff should be more attentive to customers.,2023-10-21
117,43,19,Complaint,Would love to see extended working hours on weekends.,2023-12-22
118,407,17,Praise,"Quick loan processing, really happy with the support.",2024-08-14
119,313,12,Suggestion,Need better online banking services.,2023-04-15
120,214,16,Complaint,Staff should be more attentive to customers.,2023-04-26
121,49,17,Complaint,"Quick loan processing, really happy with the support.",2024-07-09
122,53,10,Praise,"ATM was out of order, had to visit another branch.",2024-03-14
123,212,3,Complaint,Great experience with the customer service team.,2024-11-13
124,392,2,Praise,Great experience with the customer service team.,2024-04-14
125,325,1,Complaint,Need better online banking services.,2025-03-08
126,305,6,Suggestion,Would love to see extended working hours on weekends.,2023-11-04
127,256,7,Complaint,Great experience with the customer service team.,2024-01-16
128,205,16,Suggestion,"Quick loan processing, really happy with the support.",2024-02-07
129,155,13,Complaint,Need better online banking services.,2023-07-17
130,442,1,Suggestion,"Quick loan processing, really happy with the support.",2023-12-16
131,440,12,Praise,"Service was excellent, very polite staff.",2024-10-19
132,293,20,Suggestion,Would love to see extended working hours on weekends.,2023-09-17
133,23,10,Suggestion,"Quick loan processing, really happy with the support.",2024-07-18
134,248,5,Suggestion,"The queue was too long, need more staff at counters.",2023-03-30
135,460,15,Praise,Need better online banking services.,2024-11-21
136,15,7,Suggestion,"Quick loan processing, really happy with the support.",2024-05-06
137,200,9,Suggestion,"The queue was too long, need more staff at counters.",2024-07-03
138,43,7,Suggestion,Need better online banking services.,2024-10-11
139,311,11,Suggestion,Branch manager was very helpful in resolving my issue.,2023-04-29
140,56,10,Suggestion,Would love to see extended working hours on weekends.,2024-10-06
141,499,1,Praise,"Smooth account opening process, highly recommend this branch.",2024-09-30
142,357,8,Suggestion,"The queue was too long, need more staff at counters.",2023-09-20
143,365,11,Suggestion,"ATM was out of order, had to visit another branch.",2023-06-27
144,348,3,Suggestion,Staff should be more attentive to customers.,2023-10-16
145,207,8,Praise,"Smooth account opening process, highly recommend this branch.",2024-09-15
146,80,7,Suggestion,Branch manager was very helpful in resolving my issue.,2025-01-30
147,84,14,Praise,"Quick loan processing, really happy with the support.",2024-12-02
148,114,10,Praise,Staff should be more attentive to customers.,2024-10-14
149,50,4,Complaint,Staff should be more attentive to customers.,2024-11-18
150,200,1,Praise,"Quick loan processing, really happy with the support.",2024-03-26
151,413,10,Suggestion,Staff should be more attentive to customers.,2023-04-07
152,374,14,Suggestion,"Quick loan processing, really happy with the support.",2025-01-10
153,123,19,Suggestion,Would love to see extended working hours on weekends.,2024-11-30
154,329,18,Suggestion,Branch manager was very helpful in resolving my issue.,2024-10-04
155,498,20,Complaint,"Smooth account opening process, highly recommend this branch.",2023-08-10
156,438,13,Suggestion,Great experience with the customer service team.,2023-04-01
